transaction_id,year,transaction_time,Day_Shifts,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue_generated
1,2025,7:06:11,Morning,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6
2,2025,7:08:56,Morning,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2
3,2025,7:14:04,Morning,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9
4,2025,7:20:24,Morning,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2
5,2025,7:22:41,Morning,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2
6,2025,7:22:41,Morning,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3
7,2025,7:25:49,Morning,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2
8,2025,7:33:34,Morning,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4
9,2025,7:39:13,Morning,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25
10,2025,7:39:34,Morning,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7
11,2025,7:43:05,Morning,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
12,2025,7:44:35,Morning,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7
13,2025,7:45:51,Morning,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,3
14,2025,7:48:19,Morning,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1
15,2025,7:52:36,Morning,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,6
16,2025,7:59:58,Morning,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6
17,2025,7:59:58,Morning,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
18,2025,8:00:18,Morning,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5
19,2025,8:00:39,Morning,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9
20,2025,8:11:45,Morning,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75
21,2025,8:17:27,Morning,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7
22,2025,8:24:26,Morning,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
23,2025,8:24:26,Morning,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25
24,2025,8:29:38,Morning,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
25,2025,8:31:23,Morning,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75
26,2025,8:33:08,Morning,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3
27,2025,8:33:08,Morning,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5
28,2025,8:35:03,Morning,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6
29,2025,8:35:03,Morning,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
30,2025,8:41:57,Morning,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
31,2025,8:52:03,Morning,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75
32,2025,8:52:32,Morning,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3
33,2025,8:54:33,Morning,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7
34,2025,8:56:27,Morning,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5
35,2025,8:57:46,Morning,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
